TransactionID,Date,BusinessUnit,Region,ExpenseCategory,Revenue,COGS,OperatingExpenses,Receivables,Payables,TaxRate,GrossProfit,OperatingProfit_EBIT,TaxAmount,NetProfit,GrossMargin_%,NetMargin_%,OperatingCashFlow,Year,YearMonth
TXN20042,2024-08-31,Consulting,APAC,Operations,75652.56,30184.81,24252.11,10429.97,3145.37,0.21,45467.75,21215.64,4455.28,16760.36,60.1,22.15,9475.76,2024,2024-08
TXN20043,2025-05-19,Enterprise Solutions,APAC,Operations,112365.88,59415.99,29779.3,15508.2,3247.21,0.21,52949.89,23170.59,4865.82,18304.77,47.12,16.29,6043.78,2025,2025-05
TXN20044,2024-05-10,SaaS Subscriptions,EMEA,Sales & Marketing,57959.66,25111.44,53872.385,6773.14,1209.44,0.21,32848.22,-21024.16,0.0,-21024.16,56.67,-36.27,-26587.86,2024,2024-05
TXN20045,2025-04-29,Consulting,EMEA,R&D,104430.63,35453.02,29643.56,18318.99,3106.71,0.21,68977.61,39334.05,8260.15,31073.9,66.05,29.76,15861.62,2025,2025-04
TXN20046,2025-10-08,Consulting,EMEA,Sales & Marketing,224912.47,106602.84,55817.5,20184.78,6713.38,0.21,118309.63,62492.13,13123.35,49368.78,52.6,21.95,35897.38,2025,2025-10
TXN20047,2024-01-21,SaaS Subscriptions,APAC,R&D,176427.37,87916.46,41110.52,20694.03,5314.37,0.21,88510.91,47400.39,9954.08,37446.31,50.17,21.22,22066.65,2024,2024-01
TXN20048,2024-06-15,Enterprise Solutions,APAC,R&D,317801.51,120507.29,80269.7,41521.98,9063.39,0.21,197294.22,117024.52,24575.15,92449.37,62.08,29.09,59990.78,2024,2024-06
TXN20049,2024-09-30,SaaS Subscriptions,North America,Operations,295233.07,151836.84,57325.05,44150.25,4930.46,0.21,143396.23,86071.18,18074.95,67996.23,48.57,23.03,28776.44,2024,2024-09
TXN20050,2025-01-22,Enterprise Solutions,LATAM,R&D,152545.21,80320.51,32081.33,25565.93,3882.4,0.21,72224.7,40143.37,8430.11,31713.26,47.35,20.79,10029.73,2025,2025-01
TXN20051,2025-08-23,Cloud Services,North America,COGS,127827.03,47197.08,32651.64,13961.41,3844.21,0.21,80629.95,47978.31,10075.45,37902.86,63.08,29.65,27785.66,2025,2025-08
TXN20052,2024-11-11,Enterprise Solutions,LATAM,COGS,163907.72,89474.01,44195.39,24079.2,2317.72,0.21,74433.71,30238.32,6350.05,23888.27,45.41,14.57,2126.79,2024,2024-11
TXN20053,2024-01-14,Cloud Services,North America,COGS,227088.48,76115.04,70036.51,16484.73,6385.56,0.21,150973.44,80936.93,16996.76,63940.17,66.48,28.16,53841.0,2024,2024-01
TXN20054,2024-08-29,Cloud Services,APAC,Operations,130419.09,45712.4,38931.33,24766.22,3242.79,0.21,84706.69,45775.36,9612.83,36162.53,64.95,27.73,14639.1,2024,2024-08
TXN20055,2024-12-11,Enterprise Solutions,North America,Sales & Marketing,237244.67,82099.99,72671.57,25494.03,8498.3,0.21,155144.68,82473.11,17319.35,65153.76,65.39,27.46,48158.03,2024,2024-12
TXN20056,2025-07-18,Consumer Hardware,LATAM,Administrative,172823.5,90472.66,34781.52,27552.94,2490.83,0.21,82350.84,47569.32,9989.56,37579.76,47.65,21.74,12517.65,2025,2025-07
TXN20057,2024-12-05,Enterprise Solutions,EMEA,R&D,215614.15,99952.93,50162.66,11438.58,5472.1,0.21,115661.22,65498.56,13754.7,51743.86,53.64,24.0,45777.38,2024,2024-12
TXN20058,2024-04-01,Consulting,LATAM,Administrative,180837.96,61127.94,52158.71,14607.74,7647.74,0.21,119710.02,67551.31,14185.78,53365.53,66.2,29.51,46405.53,2024,2024-04
TXN20059,2025-01-01,Consulting,EMEA,Sales & Marketing,138339.73,56730.47,37711.19,17024.42,4894.17,0.21,81609.26,43898.07,9218.59,34679.48,58.99,25.07,22549.23,2025,2025-01
TXN20060,2025-03-30,Consumer Hardware,APAC,Sales & Marketing,334535.99,151820.63,67173.83,60797.86,9548.48,0.21,182715.36,115541.53,24263.72,91277.81,54.62,27.28,40028.43,2025,2025-03
TXN20061,2025-03-03,Cloud Services,LATAM,Operations,279081.74,89547.85,89494.31,36026.18,13231.79,0.21,189533.89,100039.58,21008.31,79031.27,67.91,28.32,56236.88,2025,2025-03
TXN20062,2025-05-23,Consumer Hardware,North America,COGS,92033.95,47913.25,29075.5,17438.65,1484.8,0.21,44120.7,15045.2,3159.49,11885.71,47.94,12.91,-4068.14,2025,2025-05
TXN20063,2024-02-04,Consulting,LATAM,COGS,310540.39,155549.96,87654.02,38062.79,9841.28,0.21,154990.43,67336.41,14140.65,53195.76,49.91,17.13,24974.25,2024,2024-02
TXN20064,2024-07-24,Consumer Hardware,EMEA,Sales & Marketing,196229.36,83652.91,41202.18,24247.54,3761.1,0.21,112576.45,71374.27,14988.6,56385.67,57.37,28.73,35899.23,2024,2024-07
TXN20065,2024-03-21,Enterprise Solutions,APAC,Operations,318365.67,172484.68,100277.94,21636.77,13636.34,0.21,145880.99,45603.05,9576.64,36026.41,45.82,11.32,28025.98,2024,2024-03
TXN20066,2025-07-15,Consumer Hardware,North America,Operations,289956.58,117270.11,83379.05,49408.15,6268.56,0.21,172686.47,89307.42,18754.56,70552.86,59.56,24.33,27413.27,2025,2025-07
TXN20067,2025-01-22,Cloud Services,LATAM,R&D,177564.05,96954.87,56340.01,15456.03,8344.12,0.21,80609.18,24269.17,5096.53,19172.64,45.4,10.8,12060.73,2025,2025-01
TXN20068,2024-01-02,Enterprise Solutions,EMEA,COGS,56740.79,26496.82,17746.37,10493.75,1976.43,0.21,30243.97,12497.6,2624.5,9873.1,53.3,17.4,1355.78,2024,2024-01
TXN20069,2025-01-24,SaaS Subscriptions,North America,Sales & Marketing,130603.21,59903.49,41851.84,24373.65,5413.69,0.21,70699.72,28847.88,6058.05,22789.83,54.13,17.45,3829.87,2025,2025-01
TXN20070,2025-07-19,Consulting,APAC,Administrative,212490.26,72563.03,59008.8,40691.15,3455.55,0.21,139927.23,80918.43,16992.87,63925.56,65.85,30.08,26689.96,2025,2025-07
TXN20071,2024-04-15,Consulting,North America,COGS,240043.47,124938.29,53061.29,30733.86,3626.52,0.21,115105.18,62043.89,13029.22,49014.67,47.95,20.42,21907.33,2024,2024-04
TXN20072,2025-04-21,Consumer Hardware,APAC,R&D,127366.31,51821.84,38295.69,19304.16,4819.14,0.21,75544.47,37248.78,7822.24,29426.54,59.31,23.1,14941.52,2025,2025-04
TXN20073,2025-12-03,Enterprise Solutions,North America,Operations,91806.82,31265.58,26905.92,15311.3,1404.45,0.21,60541.24,33635.32,7063.42,26571.9,65.94,28.94,12665.05,2025,2025-12
TXN20074,2025-02-05,SaaS Subscriptions,LATAM,Sales & Marketing,300479.07,91090.8,93550.55,20929.03,12319.47,0.21,209388.27,115837.72,24325.92,91511.8,69.68,30.46,82902.24,2025,2025-02
TXN20075,2025-12-30,Enterprise Solutions,EMEA,COGS,345320.65,151920.0,77863.64,48394.47,4001.79,0.21,193400.65,115537.01,24262.77,91274.24,56.01,26.43,46881.56,2025,2025-12
TXN20076,2025-07-09,Consulting,LATAM,Administrative,207707.05,89698.27,47616.07,11453.94,5509.75,0.21,118008.78,70392.71,14782.47,55610.24,56.82,26.77,49666.05,2025,2025-07
TXN20077,2024-06-10,Enterprise Solutions,LATAM,R&D,101503.79,48705.41,33857.75,12650.92,2929.01,0.21,52798.38,18940.63,3977.53,14963.1,52.02,14.74,5241.19,2024,2024-06
TXN20078,2024-07-20,SaaS Subscriptions,APAC,R&D,131692.2,68817.67,41153.37,9643.35,4574.18,0.21,62874.53,21721.16,4561.44,17159.72,47.74,13.03,12090.55,2024,2024-07
TXN20079,2024-09-26,Consumer Hardware,APAC,COGS,55517.2,17757.27,18666.79,4299.17,2232.61,0.21,37759.93,19093.14,4009.56,15083.58,68.01,27.17,13017.02,2024,2024-09
TXN20080,2024-09-27,Cloud Services,APAC,Administrative,324289.64,156591.08,101764.46,33971.65,8573.4,0.21,167698.56,65934.1,13846.16,52087.94,51.71,16.06,26689.69,2024,2024-09
TXN20081,2025-03-31,Enterprise Solutions,LATAM,R&D,85325.32,29595.34,24707.94,9800.94,1502.15,0.21,55729.98,31022.04,6514.63,24507.41,65.31,28.72,16208.62,2025,2025-03
TXN20082,2025-04-06,Cloud Services,North America,Sales & Marketing,222954.94,114720.19,66467.31,31988.65,3786.28,0.21,108234.75,41767.44,8771.16,32996.28,48.55,14.8,4793.91,2025,2025-04
TXN20083,2025-12-27,Consulting,North America,R&D,132216.57,66738.41,44076.93,8086.93,4799.7,0.21,65478.16,21401.23,4494.26,16906.97,49.52,12.79,13619.74,2025,2025-12
TXN20084,2024-09-08,Consumer Hardware,LATAM,Administrative,216253.4,94113.14,62026.02,27151.43,6330.72,0.21,122140.26,60114.24,12623.99,47490.25,56.48,21.96,26669.54,2024,2024-09
TXN20085,2025-12-02,Consumer Hardware,LATAM,Operations,245426.12,117205.87,72366.03,18994.45,8989.31,0.21,128220.25,55854.22,11729.39,44124.83,52.24,17.98,34119.69,2025,2025-12
TXN20086,2024-10-22,Enterprise Solutions,EMEA,Operations,298922.54,113168.35,66800.67,40682.24,6745.1,0.21,185754.19,118953.52,24980.24,93973.28,62.14,31.44,60036.14,2024,2024-10
TXN20087,2025-12-25,Consumer Hardware,APAC,COGS,111926.38,46761.94,30341.92,16297.68,2798.88,0.21,65164.44,34822.52,7312.73,27509.79,58.22,24.58,14010.99,2025,2025-12
TXN20088,2025-12-20,Enterprise Solutions,APAC,Administrative,53298.75,26937.68,16387.21,7115.72,1471.71,0.21,26361.07,9973.86,2094.51,7879.35,49.46,14.78,2235.34,2025,2025-12
TXN20089,2024-12-03,Enterprise Solutions,LATAM,R&D,91065.69,37775.53,21914.18,14638.29,1153.66,0.21,53290.16,31375.98,6588.96,24787.02,58.52,27.22,11302.39,2024,2024-12
TXN20090,2024-02-22,Cloud Services,LATAM,R&D,320005.59,124626.04,73709.49,32109.8,6158.85,0.21,195379.55,121670.06,25550.71,96119.35,61.06,30.04,70168.4,2024,2024-02
TXN20091,2024-08-04,Consumer Hardware,North America,Operations,312167.02,132219.31,77128.36,51434.51,11384.3,0.21,179947.71,102819.35,21592.06,81227.29,57.64,26.02,41177.08,2024,2024-08
TXN20092,2024-07-06,Enterprise Solutions,LATAM,Operations,229223.93,116230.82,54148.44,26341.28,7437.59,0.21,112993.11,58844.67,12357.38,46487.29,49.29,20.28,27583.6,2024,2024-07
TXN20093,2025-01-14,Cloud Services,North America,Sales & Marketing,230155.06,88333.97,53450.5,28223.38,4433.07,0.21,141821.09,88370.59,18557.82,69812.77,61.62,30.33,46022.46,2025,2025-01
TXN20094,2025-05-07,SaaS Subscriptions,LATAM,Operations,249511.0,85692.16,65802.94,36731.84,7158.01,0.21,163818.84,98015.9,20583.34,77432.56,65.66,31.03,47858.73,2025,2025-05
TXN20095,2024-02-10,Cloud Services,EMEA,Sales & Marketing,102611.38,49048.6,34495.46,5413.14,4647.56,0.21,53562.78,19067.32,4004.14,15063.18,52.2,14.68,14297.6,2024,2024-02
TXN20096,2024-06-05,Cloud Services,EMEA,R&D,324323.58,164268.13,89532.43,48032.04,8427.46,0.21,160055.45,70523.02,14809.83,55713.19,49.35,17.18,16108.61,2024,2024-06
TXN20097,2024-01-15,Enterprise Solutions,North America,Sales & Marketing,175631.16,57108.12,40076.93,25077.98,2075.82,0.21,118523.04,78446.11,16473.68,61972.43,67.48,35.29,38970.27,2024,2024-01
TXN20098,2024-03-05,Consulting,APAC,Sales & Marketing,164941.56,59373.77,34892.69,15913.08,2004.62,0.21,105567.79,70675.1,14841.77,55833.33,64.0,33.85,41924.87,2024,2024-03
TXN20099,2025-06-04,Consulting,EMEA,COGS,205675.31,69002.63,62612.38,12930.63,6326.31,0.21,136672.68,74060.3,15552.66,58507.64,66.45,28.45,51903.32,2025,2025-06
TXN20100,2024-12-09,Consulting,North America,Operations,64089.79,24801.81,16497.98,4078.69,2424.28,0.21,39287.98,22790.0,4785.9,18004.1,61.3,28.09,16349.69,2024,2024-12
TXN20101,2024-05-08,Cloud Services,LATAM,Sales & Marketing,99885.01,41211.33,53872.385,18826.68,3852.91,0.21,58673.68,4801.29,1008.27,3793.02,58.74,3.8,-11180.75,2024,2024-05
TXN20102,2025-10-09,Enterprise Solutions,LATAM,R&D,271410.08,132232.78,81131.7,41632.11,4631.94,0.21,139177.3,58045.6,12189.58,45856.02,51.28,16.9,8855.85,2025,2025-10
TXN20103,2025-04-16,Consumer Hardware,North America,Administrative,74839.6,34634.79,23906.48,5168.83,1648.02,0.21,40204.81,16298.33,3422.65,12875.68,53.72,17.2,9354.87,2025,2025-04
TXN20104,2024-03-03,Cloud Services,APAC,Sales & Marketing,230945.63,105133.88,55609.84,23904.83,7069.81,0.21,125811.75,70201.91,14742.4,55459.51,54.48,24.01,38624.49,2024,2024-03
TXN20105,2024-05-18,Cloud Services,North America,Operations,123604.73,47970.22,37557.77,17165.29,5038.15,0.21,75634.51,38076.74,7996.12,30080.62,61.19,24.34,17953.48,2024,2024-05
TXN20106,2025-05-13,Enterprise Solutions,North America,COGS,166788.68,85122.59,39964.12,29244.02,4466.77,0.21,81666.09,41701.97,8757.41,32944.56,48.96,19.75,8167.31,2025,2025-05
TXN20107,2025-08-15,SaaS Subscriptions,EMEA,R&D,136608.12,57077.85,46564.28,7725.07,5328.92,0.21,79530.27,32965.99,6922.86,26043.13,58.22,19.06,23646.98,2025,2025-08
TXN20108,2025-01-26,Cloud Services,North America,COGS,156701.81,85367.42,46298.51,13397.22,2446.12,0.21,71334.39,25035.88,5257.53,19778.35,45.52,12.62,8827.25,2025,2025-01
TXN20109,2025-11-05,SaaS Subscriptions,North America,Administrative,265713.77,121839.21,66076.84,48748.47,8778.51,0.21,143874.56,77797.72,16337.52,61460.2,54.15,23.13,21490.24,2025,2025-11
TXN20110,2025-02-22,SaaS Subscriptions,LATAM,Sales & Marketing,139136.51,46132.96,33452.14,7148.12,4309.56,0.21,93003.55,59551.41,12505.8,47045.61,66.84,33.81,44207.05,2025,2025-02
TXN20111,2024-10-15,Consulting,EMEA,Sales & Marketing,219921.39,103152.9,50282.6,17639.87,3816.63,0.21,116768.49,66485.89,13962.04,52523.85,53.1,23.88,38700.61,2024,2024-10
TXN20112,2025-01-13,Enterprise Solutions,LATAM,Operations,192815.12,73515.78,58653.62,37377.91,7089.33,0.21,119299.34,60645.72,12735.6,47910.12,61.87,24.85,17621.54,2025,2025-01
TXN20113,2025-05-04,SaaS Subscriptions,LATAM,Sales & Marketing,249101.35,117471.66,57992.62,35374.95,4145.63,0.21,131629.69,73637.07,15463.78,58173.29,52.84,23.35,26943.97,2025,2025-05
TXN20114,2024-08-18,Enterprise Solutions,APAC,R&D,331048.92,105078.33,95770.96,29546.35,5174.79,0.21,225970.59,130199.63,27341.92,102857.71,68.26,31.07,78486.15,2024,2024-08
TXN20115,2024-02-10,Consulting,APAC,Administrative,269771.63,92726.0,64662.98,16199.43,4533.76,0.21,177045.63,112382.65,23600.36,88782.29,65.63,32.91,77116.62,2024,2024-02
TXN20116,2024-01-28,Enterprise Solutions,EMEA,COGS,114482.11,58836.29,34263.96,6208.22,2325.25,0.21,55645.82,21381.86,4490.19,16891.67,48.61,14.75,13008.7,2024,2024-01
TXN20117,2024-05-14,Cloud Services,EMEA,Administrative,59354.94,21177.54,19126.59,5146.77,1602.33,0.21,38177.4,19050.81,4000.67,15050.14,64.32,25.36,11505.7,2024,2024-05
TXN20118,2024-07-19,SaaS Subscriptions,APAC,Sales & Marketing,128679.21,65531.21,40753.19,23448.3,3742.98,0.21,63148.0,22394.81,4702.91,17691.9,49.07,13.75,-2013.42,2024,2024-07
TXN20119,2024-02-02,Enterprise Solutions,APAC,COGS,228523.38,84512.29,71785.52,25683.07,7239.85,0.21,144011.09,72225.57,15167.37,57058.2,63.02,24.97,38614.98,2024,2024-02
TXN20120,2024-02-17,Consumer Hardware,APAC,Operations,65427.74,30143.9,14927.89,10340.86,1458.09,0.21,35283.84,20355.95,4274.75,16081.2,53.93,24.58,7198.43,2024,2024-02
TXN20121,2025-05-17,Enterprise Solutions,APAC,Administrative,198909.87,94191.31,42419.07,37343.89,3269.13,0.21,104718.56,62299.49,13082.89,49216.6,52.65,24.74,15141.84,2025,2025-05
TXN20122,2025-02-10,SaaS Subscriptions,APAC,COGS,229052.85,98072.12,69825.0,25472.07,3694.93,0.21,130980.73,61155.73,12842.7,48313.03,57.18,21.09,26535.89,2025,2025-02
TXN20123,2025-07-27,Consulting,LATAM,COGS,150273.17,56551.95,38357.54,11825.24,4238.9,0.21,93721.22,55363.68,11626.37,43737.31,62.37,29.11,36150.97,2025,2025-07
TXN20124,2025-12-28,Consulting,EMEA,COGS,281273.66,99334.91,74495.87,35881.43,6672.93,0.21,181938.75,107442.88,22563.0,84879.88,64.68,30.18,55671.38,2025,2025-12
TXN20125,2024-04-08,SaaS Subscriptions,LATAM,R&D,81979.48,25274.05,16778.93,15265.61,1340.09,0.21,56705.43,39926.5,8384.56,31541.94,69.17,38.48,17616.42,2024,2024-04
TXN20126,2025-11-14,Cloud Services,LATAM,Administrative,72541.33,27274.57,17332.77,12379.63,2369.29,0.21,45266.76,27933.99,5866.14,22067.85,62.4,30.42,12057.51,2025,2025-11
TXN20127,2025-12-26,Cloud Services,North America,COGS,268456.63,124373.46,55047.42,16073.7,6863.0,0.21,144083.17,89035.75,18697.51,70338.24,53.67,26.2,61127.54,2025,2025-12
TXN20128,2025-06-30,Consulting,LATAM,Administrative,198647.39,106192.17,65926.67,30569.04,8951.3,0.21,92455.22,26528.55,5571.0,20957.55,46.54,10.55,-660.19,2025,2025-06
TXN20129,2025-09-04,Consulting,APAC,COGS,256520.72,132826.72,60669.59,34831.57,6036.52,0.21,123694.0,63024.41,13235.13,49789.28,48.22,19.41,20994.23,2025,2025-09
TXN20130,2025-04-06,SaaS Subscriptions,APAC,Operations,180448.2,88693.21,51175.21,33584.92,3228.8,0.21,91754.99,40579.78,8521.75,32058.03,50.85,17.77,1701.91,2025,2025-04
TXN20131,2025-10-04,Cloud Services,North America,Operations,123920.61,61602.4,25508.67,8472.73,3051.4,0.21,62318.21,36809.54,7730.0,29079.54,50.29,23.47,23658.21,2025,2025-10
TXN20132,2024-01-05,Consulting,North America,Operations,295730.7,137883.32,88727.23,38476.17,6264.8,0.21,157847.38,69120.15,14515.23,54604.92,53.38,18.46,22393.55,2024,2024-01
TXN20133,2024-08-05,Cloud Services,North America,Sales & Marketing,289824.76,105806.82,72008.15,52724.75,6777.62,0.21,184017.94,112009.79,23522.06,88487.73,63.49,30.53,42540.6,2024,2024-08
TXN20134,2025-05-17,Consulting,North America,COGS,258408.94,136129.51,86486.34,28813.52,4886.49,0.21,122279.43,35793.09,7516.55,28276.54,47.32,10.94,4349.51,2025,2025-05
TXN20135,2025-02-01,Enterprise Solutions,North America,Sales & Marketing,131643.54,61567.46,43865.96,16099.9,5813.59,0.21,70076.08,26210.12,5504.13,20705.99,53.23,15.73,10419.68,2025,2025-02
